,Myrtilles,"['Fruit rouge', 'Fruit bio']",2.49,La barquette de 125g,KGNT,19.92
,"Banane Bio Max Havelaar, Catégorie 1","['Fruit frais bio', 'Banane, Fruit exotique']",1.99,Le lot de 5 fruits,UNIT,1.99
,"Tomate en Grappe, Catégorie 1",['Tomate'],2.92,Le lot de 5 fruits,UNIT,2.92
Monoprix Bio,Tomate cerise olivette bio,"['Fruit frais bio', 'Légume frais bio', 'Tomate']",2.8,La barquette de 250g,KGNT,11.2
Monoprix Bio,Citrons jaunes bio catégorie 1,"['Fruit frais bio', 'Orange, Agrume', 'Fruit bio']",2.8,Le sachet de 4 fruits,UNIT,2.8
Monoprix Bio,Orange à jus bio,"['Fruit frais bio', 'Orange, Agrume', 'Fruit bio']",4.7,"Le sachet de 1,5kg",KGNT,3.13333333333333
Monoprix Bio,Tomate grappe Bio catégorie 1,"['Légume frais bio', 'Tomate']",2.99,La barquette de 500 g,KGNT,5.98
Monoprix,Kiwi vert bio,"['Raisin, Kiwi, Figue', 'Fruit bio', 'Fruit frais bio']",4.5,la barquette de 6 fruits,UNIT,4.5
Monoprix Tous Cultiv'Acteurs,Citrons jaunes non traités,"['Orange, Agrume', 'Fruits, Légumes']",2.29,Le sachet de 4 fruits,UNIT,2.29
,Mangue Kent,"['Banane, Fruit exotique']",1.99,La pièce,UNIT,1.99
Monoprix Tous Cultiv'Acteurs Bee Friendly,Avocats Hass prêts à consommer,"['Avocat', 'Avocat']",3.49,La barquette de 2 fruits,UNIT,3.49
Monoprix Tous Cultiv'Acteurs,Tomate  cerise allongée grappe cat 1,['Tomate'],4.49,La barquette de 250g,KGNT,17.96
,Fraise Gariguette,['Fruit rouge'],2.49,La barquette de 250g,KGNT,9.96
,Citron vert,"['Orange, Agrume']",2.5,Le filet de 500g,KGNT,5
Monoprix Tous cultiv'Acteurs,Oranges à jus catégorie 1,"['Orange, Agrume']",4.49,Le filet de 2kg,KGNT,2.245
MONOPRIX,"Mandarine, Catégorie 1","['Orange, Agrume']",4.49,Le filet de 1kg,KGNT,4.49
Monoprix Bio,Orange de table bio,"['Orange, Agrume', 'Fruit bio', 'Fruit frais bio']",3.4,Le filet de 1kg,KGNT,3.4
,Pomelo Rose,"['Orange, Agrume']",1.49,L'unité,UNIT,1.49
,Tomate Cerise,['Tomate'],2.99,La barquette de 250g,KGNT,11.96
Monoprix Tous Cultiv'Acteurs,"Oranges de table naveline, catégorie 1","['Orange, Agrume', 'Fruits, Légumes']",4.49,Le filet de 2 kg,KGNT,2.245
,"Ananas, Variété Extra Sweet","['Banane, Fruit exotique', 'Fruits, Légumes']",1.79,L'unité,UNIT,1.79
Monoprix Tous Cultiv'Acteurs,Tomate coeur de pigeon,['Tomate'],2.99,La barquette de 250g,KGNT,11.96
,Avocat Hass mûr à point,"['Avocat', 'Avocat']",1.99,L'unité,UNIT,1.99
,Myrtille,['Fruit rouge'],9.99,Le seau de 500g,KGNT,19.98
,Fruits de la passion,"['Banane, Fruit exotique']",1.93,Les 3 fruits,UNIT,1.93
,kiwi vert hayward cat 1,"['Raisin, Kiwi, Figue']",2.6,Le lot de 4 fruits,UNIT,2.6
,"Fraise, Catégorie 1","['Fruit rouge', 'Fruit bio']",3.99,La barquette de 500g,KGNT,7.98
,Tomate Ronde  cat 1,['Tomate'],3.54,Le lot de 4 fruits,UNIT,3.54
,Pomme Pink Lady cat 1,"['Pomme, Poire']",3.26,Le lot de 4 fruits,UNIT,3.26
,Mûre,['Fruit rouge'],3.99,La barquette de 125g,KGNT,31.92
,Tomate allongée  cat 1,['Tomate'],2.43,Le lot de 4 fruits,UNIT,2.43
,Pommes Jaunes Golden,"['Pomme, Poire']",2.63,Le lot de 4 fruits,UNIT,2.63
,Ananas Victoria,"['Banane, Fruit exotique']",4.49,La pièce,UNIT,4.49
,Pommes Rouges Gala,"['Pomme, Poire']",1.31,Le lot de 2 fruits,UNIT,1.31
,Pitaya Rouge,"['Banane, Fruit exotique', 'Fruit bio']",5.99,La pièce,UNIT,5.99
Monoprix Bio,"Pomme jaune Bio, Variété Golden, Catégorie 1","['Pomme, Poire']",3.6,La barquette de 4 Fruits,UNIT,3.6
BIO,Pomme bio bicolore Juliette cat 1,"['Fruit bio', 'Fruit frais bio', 'Pomme, Poire']",3.99,La barquette de 4 fruits,UNIT,3.99
BIO,Noix de coco Bio,"['Banane, Fruit exotique', 'Fruit bio', 'Fruit frais bio']",1.5,La pièce,UNIT,1.5
Monoprix Bio,Pomelos rouge bio,"['Orange, Agrume', 'Fruit bio', 'Fruit frais bio']",2.3,La barquette de 2 fruits,UNIT,2.3
,Fruit de la passion,"['Banane, Fruit exotique', 'Fruit bio']",3.22,Les 3 fruits,UNIT,3.22
BIO,Banane Bio Max Havelaar,"['Banane, Fruit exotique', 'Fruit bio']",1.99,Le lot de 5,UNIT,1.99
,Tomate grappe,['Tomate'],4.99,Les 5 fruits,UNIT,4.99
BIO,Avocat hass bio,"['Avocat', 'Fruit bio', 'Légume Bio', 'Avocat']",5.6,La barquette de 3 fruits,UNIT,5.6
