Nom,Espèce,Type,Unité,Prix (€),Bio,Pays,Source,Date de scraping
Kiwi,Vert,Fruit,t,0.69,t,,naturalia,23/04/2020
Kumquat,,Fruit,f,5.96,t,,naturalia,23/04/2020
Myrtille,,Fruit,f,19.92,t,,naturalia,23/04/2020
Pomme,,Fruit,f,3.32666666666667,t,,naturalia,23/04/2020
Mâche,,Légume,f,23.92,t,,naturalia,23/04/2020
Noix,,Légume,f,9.16,t,,naturalia,23/04/2020
Bouquet Garni,,Herbe,f,19.25,t,,naturalia,23/04/2020
Laurier ,De Provence,Herbe,f,19.25,t,,naturalia,23/04/2020
Thym,De Provence,Herbe,f,19.25,t,,naturalia,23/04/2020
Banane,,Fruit,t,0.291666666666667,t,,naturalia,23/04/2020
Ananas,Extra Sweet,Fruit,t,3.29,t,,naturalia,23/04/2020
Pomme,Galaval,Fruit,t,0.578,t,,naturalia,23/04/2020
Pomme,Dalinette,Fruit,t,0.578,t,,naturalia,23/04/2020
Pomme,Granny,Fruit,t,0.578,t,,naturalia,23/04/2020
Pomme,Golden Aop Limousin,Fruit,t,0.578,t,,naturalia,23/04/2020
Pomme,Ariane,Fruit,f,2.66,t,,naturalia,23/04/2020
Poire,Conférence,Fruit,t,0.878,t,,naturalia,23/04/2020
Marron,Cuit,Fruit,f,24.95,t,,naturalia,23/04/2020
Patate Douce,,Légume,f,4.98,t,,naturalia,23/04/2020
Pomme De Terre,Frite/Potage 35+,Légume,f,2.79333333333333,t,,naturalia,23/04/2020
Pomme De Terre,Vapeur/Gratin 35+,Légume,f,2.79333333333333,t,,naturalia,23/04/2020
Carotte,,Légume,f,2.78,t,,naturalia,23/04/2020
Carotte,Fane,Légume,f,5.98,t,,naturalia,23/04/2020
Radis Noir,,Légume,f,3.975,t,,naturalia,23/04/2020
Radis,Rond Rouge,Légume,t,1.99,t,,naturalia,23/04/2020
Aubergine,,Légume,t,1.29666666666667,t,,naturalia,23/04/2020
Tomate,Cerise Olivette,Légume,f,6.58,t,,naturalia,23/04/2020
Champignon,Blond,Légume,f,12.45,t,,naturalia,23/04/2020
Champignon,De Paris,Légume,f,12.45,t,,naturalia,23/04/2020
Champignon,Pleurote,Légume,f,7.95,t,,naturalia,23/04/2020
Poireau,En Botte,Légume,f,5.98,t,,naturalia,23/04/2020
Avocat,Hass,Légume,t,1.59,t,,naturalia,23/04/2020
Courgette,,Légume,t,0.938,t,,naturalia,23/04/2020
Courgette,Ronde,Légume,t,1.49,t,,naturalia,23/04/2020
Concombre,,Légume,t,1.99,t,,naturalia,23/04/2020
Feuille De Chêne,Rouge,Légume,t,1.49,t,,naturalia,23/04/2020
Salade,Batavia,Légume,t,1.49,t,,naturalia,23/04/2020
Salade,Laitue,Légume,t,1.49,t,,naturalia,23/04/2020
Salade,Mélange Jeunes Pousses,Légume,f,21.52,t,,naturalia,23/04/2020
Épinard,Jeunes Pousses,Légume,f,17.2,t,,naturalia,23/04/2020
Chou-Fleur,,Légume,t,4.59,t,,naturalia,23/04/2020
Fenouil,,Légume,t,1.49,t,,naturalia,23/04/2020
Céleri Branche Coupé,,Légume,t,2.79,t,,naturalia,23/04/2020
Céleri Rave,,Légume,t,3.99,t,,naturalia,23/04/2020
Panais,,Légume,f,3.96,t,,naturalia,23/04/2020
Poivron Doux Rouge,,Légume,t,1.49,t,,naturalia,23/04/2020
Mandarine,,Fruit,f,5.38,t,,naturalia,23/04/2020
Orange,À Jus,Fruit,t,0.398,t,,naturalia,23/04/2020
Orange,À Jus,Fruit,f,2.99,t,,naturalia,23/04/2020
Orange,De Table,Fruit,t,0.758,t,,naturalia,23/04/2020
