Nom,Espèce,Type,Unité,Prix (€),Bio,Pays,Source
Pomme,Golden,Fruit,f,2.5,f,,rungis.maison
Citron,,Fruit,f,4,f,,rungis.maison
Banane,,Fruit,f,3,f,,rungis.maison
Orange,,Fruit,f,4,f,,rungis.maison
Kiwi,,Fruit,f,3,f,,rungis.maison
Œuf,,Fruit,f,4,t,,rungis.maison
Oignon,,Légume,f,3,f,,rungis.maison
Pomme de terre,Charlotte,Légume,f,2.5,f,,rungis.maison
Avocat,,Fruit,f,3.5,f,,rungis.maison
Poire,Conférence,Fruit,f,4,f,,rungis.maison
Clémentine,,Fruit,f,4.5,f,,rungis.maison
Carotte,,Légume,f,2,f,,rungis.maison
Salade,Batavia,Légume,t,1.5,f,,rungis.maison
